Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,Original_index,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
89,"ZD-GTFT-2: 0.25, 0.5",2.6665289256198346,0.8745179063360882,0.0,1.0,214,0.7734159779614325,0.10110192837465565,0.054683195592286495,0.07079889807162534,1.0,0.2196951775076775,1.0,0.32191433243042566
90,Gradual,2.662809917355372,0.8915977961432507,5.0,1.0,89,0.7891184573002755,0.1024793388429752,0.04669421487603306,0.06170798898071626,1.0,0.39603858784893264,0.8036247334754797,0.6511837503362927
91,PSO Gambler 1_1_1,2.6607438016528926,0.7918732782369146,34.0,1.0,124,0.7111570247933884,0.08071625344352618,0.08815426997245178,0.11997245179063362,1.0,0.4693398226980316,0,0.26612189893439897
92,Worse and Worse 3,2.659917355371901,0.8460055096418733,19.0,1.0,208,0.7475206611570249,0.09848484848484848,0.06487603305785124,0.08911845730027548,0.9406022057945985,0.5256421356421355,0.5838262026573715,0.44088969016361035
93,Prober 3,2.6578512396694216,0.2696969696969697,143.0,0.0,132,0.12052341597796144,0.14917355371900828,0.3918732782369146,0.33842975206611575,0.946969474969475,0,0.6781827664872526,0.32840037869107636
94,GrudgerAlternator,2.6566115702479336,0.846694214876033,20.0,1.0,92,0.7297520661157024,0.11694214876033059,0.07741046831955924,0.07589531680440771,0.9191532599544386,0,1.0,1.0
95,"ZD-GEN-2: 0.125, 0.5, 3",2.6566115702479336,0.8862258953168044,9.0,1.0,215,0.7823691460055097,0.10385674931129477,0.04407713498622589,0.0696969696969697,1.0,0.5671324493905139,0.6284350198412698,0.2500682324211736
96,Original Gradual,2.652479338842975,0.9035812672176309,3.0,1.0,123,0.7983471074380165,0.10523415977961434,0.04104683195592287,0.05537190082644628,1.0,0.39617176608702026,0.8681372549019608,0.7516865079365078
97,Second by Tranquilizer,2.652479338842975,0.8629476584022039,12.0,1.0,167,0.7574380165289256,0.10550964187327824,0.06170798898071626,0.07534435261707989,0.981783610536323,0.6206991179552156,1.0,0.898148148148148
98,Naive Prober: 0.1,2.649173553719008,0.7045454545454546,87.0,1.0,117,0.5867768595041323,0.11776859504132231,0.14820936639118457,0.14724517906336088,0.8786118087135112,0,0.9223852878561399,0
99,Second by Getzler,2.646280991735537,0.8578512396694215,7.0,1.0,155,0.762396694214876,0.09545454545454546,0.05523415977961433,0.0869146005509642,0.9670257601052674,0.4199187466428846,0.7278086992372707,0.30417967582289834
100,First by Joss: 0.9,2.6450413223140496,0.7068870523415978,79.0,1.0,67,0.5855371900826446,0.12134986225895317,0.1497245179063361,0.14338842975206612,0.8817033250025788,0,0.9298640627049719,0
101,Nice Average Copier,2.644628099173554,0.8453168044077135,19.0,1.0,119,0.7450413223140496,0.10027548209366391,0.06294765840220386,0.09173553719008264,0.9361798093495222,0.5060606060606061,0.6091778591778593,0.43222558254070853
102,GTFT: 0.33,2.644214876033058,0.8990358126721764,0.0,1.0,81,0.7909090909090909,0.10812672176308541,0.04269972451790634,0.05826446280991735,1.0,0.3720524899936664,1.0,0.440362389244742
103,DoubleResurrection,2.6433884297520662,0.6940771349862259,111.0,1.0,43,0.5426997245179064,0.15137741046831957,0.17699724517906337,0.12892561983471074,0.8654195505339911,0,1.0,0.15936507936507932
104,Soft Go By Majority: 40,2.640909090909091,0.8778236914600551,15.0,1.0,86,0.7618457300275483,0.11597796143250688,0.05826446280991735,0.06391184573002755,1.0,0.7881498660070089,0.7793402777777777,0
